1,0～6
2,7～8
3,9～10
4,11～12
5,13～15
6,16～18
7,19～20
8,21～24
9,25～29
10,30～34
11,35～39
12,40～44
13,45～49
14,50～54
15,55～59
16,60～64
17,65～69
18,70以上
